Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Leroy X.","57192117370;","Mechanized semantics for compiler verification",2012,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7679 LNCS",,,"4","6",,3,"10.1007/978-3-642-35308-6_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869752686&doi=10.1007%2f978-3-642-35308-6_2&partnerID=40&md5=1fdfd82eec8ec2b5f866088ac903c101","The formal verification of compilers and related programming tools depends crucially on the availability of appropriate mechanized semantics for the source, intermediate and target languages. In this invited talk, I review various forms of operational semantics and their mechanization, based on my experience with the formal verification of the CompCert C compiler. © 2012 Springer-Verlag Berlin Heidelberg.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84869752686
"Myreen M.O., Owens S.","23088605400;7102978424;","Proof-producing synthesis of ML from higher-order logic",2012,"Proceedings of the ACM SIGPLAN International Conference on Functional Programming, ICFP",,,,"115","126",,11,"10.1145/2364527.2364545","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867544496&doi=10.1145%2f2364527.2364545&partnerID=40&md5=f29e830566d51039d7a401a11c6c22c4","The higher-order logic found in proof assistants such as Coq and various HOL systems provides a convenient setting for the development and verification of pure functional programs. However, to efficiently run these programs, they must be converted (or ""extracted"") to functional programs in a programming language such as ML or Haskell. With current techniques, this step, which must be trusted, relates similar looking objects that have very different semantic definitions, such as the set-theoretic model of a logic and the operational semantics of a programming language. In this paper, we show how to increase the trustworthiness of this step with an automated technique. Given a functional program expressed in higher-order logic, our technique provides the corresponding program for a functional language defined with an operational semantics, and it provides a mechanically checked theorem relating the two. This theorem can then be used to transfer verified properties of the logical function to the program. We have implemented our technique in the HOL4 theorem prover, translating functions to a core subset of Standard ML, and have applied it to examples including functional data structures, a parser generator, cryptographic algorithms, and a garbage collector. © 2012 ACM.",Conference Paper,"Final","",Scopus,2-s2.0-84867544496
"Momigliano A.","6602312633;","A supposedly fun thing I may have to do again: A HOAS encoding of Howe's method",2012,"LFMTP'12 - Proceedings of the ACM SIGPLAN Workshop on Logical Frameworks and Meta Languages, Theory and Practice",,,,"33","42",,12,"10.1145/2364406.2364411","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867527184&doi=10.1145%2f2364406.2364411&partnerID=40&md5=c06f9377872168d1a14695368dd4479e","We formally verify in Abella that similarity in the call-by-name lambda calculus is a pre-congruence, using Howe's method. This turns out to be a very challenging task for HOAS-based systems, as it entails a demanding combination of inductive and coinductive reasoning on open terms, for which no other existing HOAS-based system is equipped for. We also offer a proof using a version of Abella supplemented with predicate quantification; this results in a more structured presentation that is largely independent of the operational semantics as well of the chosen notion of (bi)similarity. While the end result is significantly more succinct and elegant than previous attempts, the exercise highlights some limitations of the two-level approach in general and of Abella in particular. © 2012 ACM.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84867527184
"Danielsson N.A.","22333411300;","Operational semantics using the partiality monad",2012,"Proceedings of the ACM SIGPLAN International Conference on Functional Programming, ICFP",,,,"127","138",,30,"10.1145/2364527.2364546","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867499838&doi=10.1145%2f2364527.2364546&partnerID=40&md5=ebceb4148b0464b57209066dcfb560f7","The operational semantics of a partial, functional language is often given as a relation rather than as a function. The latter approach is arguably more natural: if the language is functional, why not take advantage of this when defining the semantics? One can immediately see that a functional semantics is deterministic and, in a constructive setting, computable. This paper shows how one can use the coinductive partiality monad to define big-step or small-step operational semantics for lambda-calculi and virtual machines as total, computable functions (total definitional interpreters). To demonstrate that the resulting semantics are useful type soundness and compiler correctness results are also proved. The results have been implemented and checked using Agda, a dependently typed programming language and proof assistant. © 2012 ACM.",Conference Paper,"Final","",Scopus,2-s2.0-84867499838
"Appel A.W., Dockins R., Leroy X.","7101635673;25421524200;57192117370;","A list-machine benchmark for mechanized metatheory",2012,"Journal of Automated Reasoning","49","3",,"453","491",,6,"10.1007/s10817-011-9226-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868600764&doi=10.1007%2fs10817-011-9226-1&partnerID=40&md5=20f6142483fb00d9f5d4c77448674452","We propose a benchmark to compare theorem-proving systems on their ability to express proofs of compiler correctness. In contrast to the first POPLmark, we emphasize the connection of proofs to compiler implementations, and we point out that much can be done without binders or alpha-conversion. We propose specific criteria for evaluating the utility of mechanized metatheory systems; we have constructed solutions in both Coq and Twelf metatheory, and we draw conclusions about those two systems in particular. © Springer Science+Business Media B.V. 2011.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84868600764
"Correnson L., Signoles J.","35106711100;25522461600;","Combining analyses for C program verification",2012,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7437 LNCS",,,"108","130",,20,"10.1007/978-3-642-32469-7_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866658740&doi=10.1007%2f978-3-642-32469-7_8&partnerID=40&md5=99fbfbc8f660fa4f76c1a6ecff118441","Static analyzers usually return partial results. They can assert that some properties are valid during all possible executions of a program, but generally leave some other properties to be verified by other means. In practice, it is common to combine results from several methods manually to achieve the full verification of a program. In this context, Frama-C is a platform for analyzing C source programs with multiple analyzers. Hence, one analyzer might conclude about properties assumed by another one, in the same environment. We present here the semantical foundations of validity of program properties in such a context. We propose a correct and complete algorithm for combining several partial results into a fully consolidated validity status for each program property. We illustrate how such a framework provides meaningful feedback on partial results. © 2012 Springer-Verlag.",Conference Paper,"Final","",Scopus,2-s2.0-84866658740
"Danielsson N.A.","22333411300;","Operational semantics using the partiality monad",2012,"ACM SIGPLAN Notices","47","9",,"127","138",,6,"10.1145/2398856.2364546","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870458734&doi=10.1145%2f2398856.2364546&partnerID=40&md5=12cb7647fb070348fe946d7fc47a1b62","The operational semantics of a partial, functional language is often given as a relation rather than as a function. The latter approach is arguably more natural: if the language is functional, why not take advantage of this when defining the semantics? One can immediately see that a functional semantics is deterministic and, in a constructive setting, computable. This paper shows how one can use the coinductive partiality monad to define big-step or small-step operational semantics for lambda-calculi and virtual machines as total, computable functions (total definitional interpreters). To demonstrate that the resulting semantics are useful type soundness and compiler correctness results are also proved. The results have been implemented and checked using Agda, a dependently typed programming language and proof assistant. Copyright © 2012 ACM.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84870458734
"Myreen M.O., Owens S.","23088605400;7102978424;","Proof-producing synthesis of ML from higher-order logic",2012,"ACM SIGPLAN Notices","47","9",,"115","126",,6,"10.1145/2398856.2364545","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870422874&doi=10.1145%2f2398856.2364545&partnerID=40&md5=dde64b3e532bb07a24b2f45560657fb4","The higher-order logic found in proof assistants such as Coq and various HOL systems provides a convenient setting for the development and verification of pure functional programs. However, to efficiently run these programs, they must be converted (or ""extracted"") to functional programs in a programming language such as ML or Haskell. With current techniques, this step, which must be trusted, relates similar looking objects that have very different semantic definitions, such as the set-theoretic model of a logic and the operational semantics of a programming language. In this paper, we show how to increase the trustworthiness of this step with an automated technique. Given a functional program expressed in higher-order logic, our technique provides the corresponding program for a functional language defined with an operational semantics, and it provides a mechanically checked theorem relating the two. This theorem can then be used to transfer verified properties of the logical function to the program. We have implemented our technique in the HOL4 theorem prover, translating functions to a core subset of Standard ML, and have applied it to examples including functional data structures, a parser generator, cryptographic algorithms, and a garbage collector. Copyright © 2012 ACM.",Conference Paper,"Final","",Scopus,2-s2.0-84870422874
"Ancona D.","7003625858;","Regular corecursion in Prolog",2012,"Proceedings of the ACM Symposium on Applied Computing",,,,"1897","1902",,5,"10.1145/2245276.2232088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863587409&doi=10.1145%2f2245276.2232088&partnerID=40&md5=494a97685e11d6d7fc7440d9120391aa","Co-recursion is the ability of defining a function that produces some infinite data in terms of the function and the data itself, and is typically supported by languages with lazy evaluation. However, in languages as Haskell strict operations fail to terminate even on infinite regular data. Regular co-recursion is naturally supported by co-inductive Prolog, an extension where predicates can be interpreted either inductively or co-inductively, that has proved to be useful for formal verification, static analysis and symbolic evaluation of programs. In this paper we propose two main alternative vanilla meta-interpreters to support regular co-recursion in Prolog as an interesting programming style in its own right, able to elegantly solve problems that would require more complex code if conventional recursion were used. In particular, the second meta-interpreters avoids non termination in several cases, by restricting the set of possible answers. The semantics defined by these vanilla meta-interpreters are an interesting starting point to study new semantics able to support regular co-recursion for non logical languages. © 2012 ACM.",Conference Paper,"Final","",Scopus,2-s2.0-84863587409
"Cave A., Pientka B.","55000224500;8909787800;","Programming with binders and indexed data-types",2012,"Conference Record of the Annual ACM Symposium on Principles of Programming Languages",,,,"413","424",,7,"10.1145/2103656.2103705","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857830360&doi=10.1145%2f2103656.2103705&partnerID=40&md5=28d2f18379f2d8e49ee45e968526d80d","We show how to combine a general purpose type system for an existing language with support for programming with binders and contexts by refining the type system of ML with a restricted form of dependent types where index objects are drawn from contextual LF. This allows the user to specify formal systems within the logical framework LF and index ML types with contextual LF objects. Our language design keeps the index language generic only requiring decidability of equality of the index language providing a modular design. To illustrate the elegance and effectiveness of our language, we give programs for closure conversion and normalization by evaluation. Our three key technical contribution are: 1) We give a bidirectional type system for our core language which is centered around refinement substitutions instead of constraint solving. As a consequence, type checking is decidable and easy to trust, although constraint solving may be undecidable. 2) We give a big-step environment based operational semantics with environments which lends itself to efficient implementation. 3) We prove our language to be type safe and have mechanized our theoretical development in the proof assistant Coq using the fresh approach to binding. Copyright © 2012 ACM.",Conference Paper,"Final","",Scopus,2-s2.0-84857830360
"Herms P., Marché C., Monate B.","57216557799;56123550600;25522064900;","A certified multi-prover verification condition generator",2012,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7152 LNCS",,,"2","17",,11,"10.1007/978-3-642-27705-4_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856552033&doi=10.1007%2f978-3-642-27705-4_2&partnerID=40&md5=7a711053dc422a175c7ca57185717594","Deduction-based software verification tools have reached a maturity allowing them to be used in industrial context where a very high level of assurance is required. This raises the question of the level of confidence we can grant to the tools themselves. We present a certified implementation of a verification condition generator. An originality is its genericity with respect to the logical context, which allows us to produce proof obligations for a large class of theorem provers. © 2012 Springer-Verlag.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84856552033
"Ancona D.","7003625858;","Soundness of object-oriented languages with coinductive big-step semantics",2012,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7313 LNCS",,,"459","483",,13,"10.1007/978-3-642-31057-7_21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879699076&doi=10.1007%2f978-3-642-31057-7_21&partnerID=40&md5=9b81dc6b28aac931b344347e95b316f0","It is well known that big-step operational semantics are not suitable for proving soundness of type systems, because of their inability to distinguish stuck from non-terminating computations. We show how this problem can be solved by interpreting coinductively the rules for the standard big-step operational semantics of a Java-like language, thus making the claim of soundness more intuitive: whenever a program is well-typed, its coinductive operational semantics returns a value. Indeed, coinduction allows non-terminating computations to return values; this is proved by showing that the set of proof trees defining the semantic judgment forms a complete metric space when equipped with a proper distance function. In this way, we are able to prove soundness of a nominal type system w.r.t. the coinductive semantics. Since the coinductive semantics is sound w.r.t. the usual small-step operational semantics, the standard claim of soundness can be easily deduced. © 2012 Springer-Verlag Berlin Heidelberg.",Conference Paper,"Final","",Scopus,2-s2.0-84879699076
"Rośu G., Ştefǎnescu A.","6603971839;42162188300;","Towards a unified theory of operational and axiomatic semantics",2012,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7392 LNCS","PART 2",,"351","363",,20,"10.1007/978-3-642-31585-5_33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869807192&doi=10.1007%2f978-3-642-31585-5_33&partnerID=40&md5=fd3a8b00ce6013dc510e2a84f51483f4","This paper presents a nine-rule language-independent proof system that takes an operational semantics as axioms and derives program reachability properties, including ones corresponding to Hoare triples. This eliminates the need for language-specific Hoare-style proof rules to verify programs, and, implicitly, the tedious step of proving such proof rules sound for each language separately. The key proof rule is Circularity, which is coinductive in nature and allows for reasoning about constructs with repetitive behaviors (e.g., loops). The generic proof system is shown sound and has been implemented in the MatchC verifier. © 2012 Springer-Verlag Berlin Heidelberg.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84869807192
"Lago U.D., Zorzi M.","57201616133;24734296500;","Probabilistic operational semantics for the lambda calculus",2012,"RAIRO - Theoretical Informatics and Applications","46","3",,"413","450",,58,"10.1051/ita/2012012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868708253&doi=10.1051%2fita%2f2012012&partnerID=40&md5=7f58fbbfb7a43168310069b174b153e4","Probabilistic operational semantics for a nondeterministic extension of pure λ-calculus is studied. In this semantics, a term evaluates to a (finite or infinite) distribution of values. Small-step and big-step semantics, inductively and coinductively defined, are given. Moreover, small-step and big-step semantics are shown to produce identical outcomes, both in call-by-value and in call-by-name. Plotkin's CPS translation is extended to accommodate the choice operator and shown correct with respect to the operational semantics. Finally, the expressive power of the obtained system is studied: the calculus is shown to be sound and complete with respect to computable probability distributions. © EDP Sciences 2012.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84868708253
"Cave A., Pientka B.","55000224500;8909787800;","Programming with binders and indexed data-types",2012,"ACM SIGPLAN Notices","47","1",,"413","424",,21,"10.1145/2103621.2103705","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857161623&doi=10.1145%2f2103621.2103705&partnerID=40&md5=bab78eb6b2f88daa42e4ff54857a55c8","We show how to combine a general purpose type system for an existing language with support for programming with binders and contexts by refining the type system of ML with a restricted form of dependent types where index objects are drawn from contextual LF. This allows the user to specify formal systems within the logical framework LF and index ML types with contextual LF objects. Our language design keeps the index language generic only requiring decidability of equality of the index language providing a modular design. To illustrate the elegance and effectiveness of our language, we give programs for closure conversion and normalization by evaluation. Our three key technical contribution are: 1) We give a bidirectional type system for our core language which is centered around refinement substitutions instead of constraint solving. As a consequence, type checking is decidable and easy to trust, although constraint solving may be undecidable. 2) We give a big-step environment based operational semantics with environments which lends itself to efficient implementation. 3) We prove our language to be type safe and have mechanized our theoretical development in the proof assistant Coq using the fresh approach to binding. © 2012 ACM.",Conference Paper,"Final","",Scopus,2-s2.0-84857161623
"Ancona D.","7003625858;","Coinductive big-step operational semantics for type soundness of Java-like languages",2011,"ECOOP 2011 Workshop Proceedings - 13th Workshop on Formal Techniques for Java-Like Programs, FTfJP 2011",,,"5","","",,4,"10.1145/2076674.2076679","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855713140&doi=10.1145%2f2076674.2076679&partnerID=40&md5=ed9364ce82369018271283df8ec8ba9a","We define a coinductive semantics for a simple Java-like language by simply interpreting coinductively the rules of a standard big-step operational semantics. We prove that such a semantics is sound w.r.t. the usual small-step operational semantics, and then prove soundness of a conventional nominal type system w.r.t. the coinductive semantics. From these two results, soundness of the type system w.r.t. the small-step semantics can be easily deduced. This new proposed approach not only opens up new possibilities for proving type soundness, but also provides useful insights on the connection between coinductive big-step operational semantics and type systems. Copyright 2011 ACM.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84855713140
"Colvin R.J., Hayes I.J.","35371596800;7004615706;","Structural operational semantics through context-dependent behaviour",2011,"Journal of Logic and Algebraic Programming","80","7",,"392","426",,6,"10.1016/j.jlap.2011.05.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959787370&doi=10.1016%2fj.jlap.2011.05.001&partnerID=40&md5=6d440a3e9d3c0f730c088f55919bad98","We present a new approach to providing a structural operational semantics for imperative programming languages with concurrency and procedures. The approach is novel because we expose the building block operations - variable assignment and condition checking - in the labels on the transitions; these form the context-dependent behaviour of a program. Using this style results in two main advantages over standard formalisms for imperative programming language semantics: firstly, our individual transition rules are more concise, and secondly, we are able to more abstractly and intuitively describe the semantics of procedures, including by-value and by-reference parameters. Standard techniques in the literature tend to result in complex and hard-to-read rules for even simple language constructs when procedures and parameters are dealt with. Our semantics for procedures utilises the context-dependent behaviour in the transition label to handle variable name scoping, and defines the semantics of recursion without requiring additional rules. In contrast with Plotkin's seminal structural operational semantics paper, we do not use locations to describe some of the more complex language constructs. Novel aspects of the abstract syntax include local states (in contrast to a single global store), which simplifies the reasoning about local variables, and a command for dynamically renaming variables (in contrast to mapping variables to locations), which simplifies the reasoning about the effect of procedures on by-reference parameters. © 2011 Elsevier Inc. All rights reserved.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-79959787370
"Sangiorgi D.","56238903200;","Introduction to bisimulation and coinduction",2011,"Introduction to Bisimulation and Coinduction","9781107003637",,,"1","247",,148,"10.1017/CBO9780511777110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923968279&doi=10.1017%2fCBO9780511777110&partnerID=40&md5=2661435ab0bdee444ba277ac70357363","Induction is a pervasive tool in computer science and mathematics for defining objects and reasoning on them. Coinduction is the dual of induction and as such it brings in quite different tools. Today, it is widely used in computer science, but also in other fields, including artificial intelligence, cognitive science, mathematics, modal logics, philosophy and physics. The best known instance of coinduction is bisimulation, mainly employed to define and prove equalities among potentially infinite objects: processes, streams, non-well-founded sets, etc. This book presents bisimulation and coinduction: the fundamental concepts and techniques and the duality with induction. Each chapter contains exercises and selected solutions, enabling students to connect theory with practice. A special emphasis is placed on bisimulation as a behavioural equivalence for processes. Thus the book serves as an introduction to models for expressing processes (such as process calculi) and to the associated techniques of operational and algebraic analysis. © D. Sangiorgi 2012.",Book,"Final","",Scopus,2-s2.0-84923968279
"Ancona D., Lagorio G.","7003625858;56618171700;","Idealized coinductive type systems for imperative object-oriented programs",2011,"RAIRO - Theoretical Informatics and Applications","45","1",,"3","33",,12,"10.1051/ita/2011009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855692394&doi=10.1051%2fita%2f2011009&partnerID=40&md5=520c12a8383902086eca4c0013730574","In recent work we have proposed a novel approach to define idealized type systems for object-oriented languages, based on abstract compilation of programs into Horn formulas which are interpreted w.r.t. the coinductive (that is, the greatest) Herbrand model. In this paper we investigate how this approach can be applied also in the presence of imperative features. This is made possible by considering a natural translation of Static Single Assignment intermediate form programs into Horn formulas, where φ functions correspond to union types. © 2011 EDP Sciences.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84855692394
"Danielsson N.A., Altenkirch T.","22333411300;22333517400;","Subtyping, declaratively: An exercise in mixed induction and coinduction",2010,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6120 LNCS",,,"100","118",,30,"10.1007/978-3-642-13321-3_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78249243672&doi=10.1007%2f978-3-642-13321-3_8&partnerID=40&md5=b1d8d3b5a455596a47715b6523c370df","It is natural to present subtyping for recursive types coinductively. However, Gapeyev, Levin and Pierce have noted that there is a problem with coinductive definitions of non-trivial transitive inference systems: they cannot be ""declarative""-as opposed to ""algorithmic"" or syntax-directed-because coinductive inference systems with an explicit rule of transitivity are trivial. We propose a solution to this problem. By using mixed induction and coinduction we define an inference system for subtyping which combines the advantages of coinduction with the convenience of an explicit rule of transitivity. The definition uses coinduction for the structural rules, and induction for the rule of transitivity. We also discuss under what conditions this technique can be used when defining other inference systems. The developments presented in the paper have been mechanised using Agda, a dependently typed programming language and proof assistant. © 2010 Springer-Verlag Berlin Heidelberg.",Conference Paper,"Final","",Scopus,2-s2.0-78249243672
"Nakata K., Uustalu T.","35102980400;6602585906;","Resumptions, weak bisimilarity and big-step semantics for while with interactive I/O: An exercise in mixed induction-coinduction",2010,"Electronic Proceedings in Theoretical Computer Science, EPTCS","32",,,"57","75",,31,"10.4204/EPTCS.32.5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954532658&doi=10.4204%2fEPTCS.32.5&partnerID=40&md5=dcef2548dfb0e0995de42358aaceeec4","We look at the operational semantics of languages with interactive I/O through the glasses of constructive type theory. Following on from our earlier work on coinductive trace-based semantics for While [17], we define several big-step semantics for While with interactive I/O, based on resumptions and termination-sensitive weak bisimilarity. These require nesting inductive definitions in coinductive definitions, which is interesting both mathematically and from the point-of-view of implementation in a proof assistant. After first defining a basic semantics of statements in terms of resumptions with explicit internal actions (delays), we introduce a semantics in terms of delay-free resumptions that essentially removes finite sequences of delays on the fly from those resumptions that are responsive. Finally, we also look at a semantics in terms of delay-free resumptions supplemented with a silent divergence option. This semantics hinges on decisions between convergence and divergence and is only equivalent to the basic one classically. We have fully formalized our development in Coq.",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84954532658
"Chlipala A.","10041238300;","A verified compiler for an impure functional language",2010,"Conference Record of the Annual ACM Symposium on Principles of Programming Languages",,,,"93","106",,38,"10.1145/1706299.1706312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950884123&doi=10.1145%2f1706299.1706312&partnerID=40&md5=0e329cdb018652d8f653949e0a1470a6","We present a verified compiler to an idealized assembly language from a small, untyped functional language with mutable references and exceptions. The compiler is programmed in the Coq proof assistant and has a proof of total correctness with respect to big-step operational semantics for the source and target languages. Compilation is staged and includes standard phases like translation to continuation-passing style and closure conversion, as well as a common subexpression elimination optimization. In this work, our focus has been on discovering and using techniques that make our proofs easy to engineer and maintain. While most programming language work with proof assistants uses very manual proof styles, all of our proofs are implemented as adaptive programs in Coq's tactic language, making it possible to reuse proofs unchanged as new language features are added. In this paper, we focus especially on phases of compilation that rearrange the structure of syntax with nested variable binders. That aspect has been a key challenge area in past compiler verification projects, with much more effort expended in the statement and proof of binder-related lemmas than is found in standard pencil-and-paper proofs. We show how to exploit the representation technique of parametric higher-order abstract syntax to avoid the need to prove any of the usual lemmas about binder manipulation, often leading to proofs that are actually shorter than their pencil-and-paper analogues. Our strategy is based on a new approach to encoding operational semantics which delegates all concerns about substitution to the meta language, without using features incompatible with general-purpose type theories like Coq's logic. Copyright © 2010 ACM.",Conference Paper,"Final","",Scopus,2-s2.0-77950884123
"Nakata K., Uustalu T.","35102980400;6602585906;","A Hoare logic for the Coinductive trace-based big-step semantics of while",2010,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6012",,,"488","506",,23,"10.1007/978-3-642-11957-6_26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052024804&doi=10.1007%2f978-3-642-11957-6_26&partnerID=40&md5=30f18e5ff90c6191fb8d4ab64a8a6a83","In search for a foundational framework for reasoning about observable behavior of programs that may not terminate, we have previously devised a trace-based big-step semantics for While. In this semantics, both traces and evaluation (relating initial states of program runs to traces they produce) are defined coinductively. On terminating runs, it agrees with the standard inductive state-based semantics. Here we present a Hoare logic counterpart of our coinductive trace-based semantics and prove it sound and complete. Our logic subsumes both the partial correctness Hoare logic and the total correctness Hoare logic: they are embeddable. Since we work with a constructive underlying logic, the range of expressible program properties has a rich structure; in particular, we can distinguish between termination and nondivergence, e.g., unbounded total search fails to be terminating but is nonetheless nondivergent. Our metatheory is entirely constructive as well, and we have formalized it in Coq. © Springer-Verlag Berlin Heidelberg 2010.",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85052024804
"Chlipala A.","10041238300;","A verified compiler for an impure functional language",2010,"ACM SIGPLAN Notices","45","1",,"93","106",,32,"10.1145/1707801.1706312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77149154376&doi=10.1145%2f1707801.1706312&partnerID=40&md5=6d04b86b64c2869e341b441b20e4bb98","We present a verified compiler to an idealized assembly language from a small, untyped functional language with mutable references and exceptions. The compiler is programmed in the Coq proof assistant and has a proof of total correctness with respect to bigstep operational semantics for the source and target languages. Compilation is staged and includes standard phases like translation to continuation-passing style and closure conversion, as well as a common subexpression elimination optimization. In this work, our focus has been on discovering and using techniques that make our proofs easy to engineer and maintain. While most programming language work with proof assistants uses very manual proof styles, all of our proofs are implemented as adaptive programs in Coq's tactic language, making it possible to reuse proofs unchanged as new language features are added. In this paper, we focus especially on phases of compilation that rearrange the structure of syntax with nested variable binders. That aspect has been a key challenge area in past compiler verification projects, with much more effort expended in the statement and proof of binder-related lemmas than is found in standard penciland-paper proofs. We show how to exploit the representation technique of parametric higher-order abstract syntax to avoid the need to prove any of the usual lemmas about binder manipulation, often leading to proofs that are actually shorter than their pencil-andpaper analogues. Our strategy is based on a new approach to encoding operational semantics which delegates all concerns about substitution to the meta language, without using features incompatible with general-purpose type theories like Coq's logic. Copyright © 2010 ACM 978-1-60558-479-9/10/ 01⋯ $10.00.",Conference Paper,"Final","",Scopus,2-s2.0-77149154376
"Benton N., Hur C.-K.","8982524200;56184835000;","Biorthogonality, Step-indexing and compiler correctness",2009,"Proceedings of the ACM SIGPLAN International Conference on Functional Programming, ICFP",,,,"97","107",,58,"10.1145/1596550.1596567","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450177976&doi=10.1145%2f1596550.1596567&partnerID=40&md5=dfad7ab8db51e6b1d48fa8bfd8030849","We define logical relations between the denotational semantics of a simply typed functional language with recursion and the operational behaviour of low-level programs in a variant SECD machine. The relations, which are defined using biorthogonality and stepindexing, capture what it means for a piece of low-level code to implement a mathematical, domain-theoretic function and are used to prove correctness of a simple compiler. The results have been formalized in the Coq proof assistant. Copyright © 2009 ACM.",Conference Paper,"Final","",Scopus,2-s2.0-70450177976
"Nakata K., Uustalu T.","35102980400;6602585906;","Trace-based coinductive operational semantics for while",2009,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","5674 LNCS",,,"375","390",,32,"10.1007/978-3-642-03359-9_26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350325123&doi=10.1007%2f978-3-642-03359-9_26&partnerID=40&md5=1b3cd986032201ff00e99aeb33aea56e","We present four coinductive operational semantics for the While language accounting for both terminating and non-terminating program runs: big-step and small-step relational semantics and big-step and small-step functional semantics. The semantics employ traces (possibly infinite sequences of states) to record the states that program runs go through. The relational semantics relate statement-state pairs to traces, whereas the functional semantics return traces for statement-state pairs. All four semantics are equivalent. We formalize the semantics and their equivalence proofs in the constructive setting of Coq. © 2009 Springer.",Conference Paper,"Final","",Scopus,2-s2.0-70350325123
"Nestra H.","6508256905;","Transfinite Semantics in the Form of Greatest Fixpoint",2009,"Journal of Logic and Algebraic Programming","78","7",,"573","592",,5,"10.1016/j.jlap.2009.03.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69349090631&doi=10.1016%2fj.jlap.2009.03.001&partnerID=40&md5=46a1f2188be2aa61d0ea5d7ae7b990c1","Transfinite semantics is a semantics according to which program executions can continue working after an infinite number of steps. Such a view of programs can be useful in the theory of program transformations. So far, transfinite semantics have been succesfully defined for iterative loops. This paper provides an exhaustive definition for semantics that enable also infinitely deep recursion. The definition is actually a parametric schema that defines a family of different transfinite semantics. As standard semantics also match the same schema, our framework describes both standard and transfinite semantics in a uniform way. All semantics are expressed as greatest fixpoints of monotone operators on some complete lattices. It turns out that, for transfinite semantics, the corresponding lattice operators are cocontinuous. According to Kleene's theorem, this shows that transfinite semantics can be expressed as a limit of iteration which is not transfinite. © 2009 Elsevier Inc. All rights reserved.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-69349090631
